payout_id,duplicate_number,owner_name,class_name,leader_user_id,leader_name,timezone,first_meeting_of_week_date,meetings,hours_taught,status,paid_period,payout_date,payout_dollars,num_enrollments,section_link,loaded_at
5fafbf5b-cb60-44c8-9848-7c55342bc434307f514c-2d01-4c47-86a2-ed4158f4215a25549d5b-9c9f-4228-899b-fa89578c9cb47aa7e9cd-52d7-4fff-8ef1-8520bdb797f6,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Introduction Part 1: Creating a Character!,,,Europe/London,10/25/21 05:00pm,Topher - DnD with Toph Mon Oct 25 @ 05:00pm,1.5000,paid,,2021-11-01 08:20:00+00,$21.00,2,https://outschool.com/sections/5fafbf5b-cb60-44c8-9848-7c55342bc434/learners,2023-07-17 22:14:36.089916+00
16e707b1-dc4d-4a45-805b-e4802f9d5cf78c85aa0e-f323-46b6-8ce4-9569bd6ab20125549d5b-9c9f-4228-899b-fa89578c9cb42021-10-252021-11-01338976df-d426-4013-b01b-a95053f16980,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Waterdeep: Dragon Heist - Beginner Fantasy Campaign!,,,Europe/London,10/30/21 04:00pm,Topher - DnD with Toph Sat Oct 30 @ 04:00pm,1.5000,paid,10/25/21-11/01/21,2021-11-07 08:25:00+00,$44.10,4,https://outschool.com/sections/16e707b1-dc4d-4a45-805b-e4802f9d5cf7/learners,2023-07-17 22:14:36.089916+00
31fd7903-c3eb-4717-afc6-5105b875ab71246d8fba-b8b9-48e4-a9dd-7538e8ea2a0c25549d5b-9c9f-4228-899b-fa89578c9cb42021-10-252021-11-011bdb2815-1bb9-448b-bcd5-7258827c2f71,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Lost Mine of Phandelver - Beginner Starter Adventure!,,,Europe/London,10/27/21 05:00pm,Topher - DnD with Toph Wed Oct 27 @ 05:00pm,1.5000,paid,10/25/21-11/01/21,2021-11-07 09:53:00+00,$42.00,4,https://outschool.com/sections/31fd7903-c3eb-4717-afc6-5105b875ab71/learners,2023-07-17 22:14:36.089916+00
2ac36c86-07c6-4bc8-8a0f-a7f8586ef002d44b896b-e4ef-47ae-b1b7-d2dd231ed20025549d5b-9c9f-4228-899b-fa89578c9cb42021-10-252021-11-0199d1f83e-1145-413f-9442-a017c6e12705,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) The Wild Beyond - A Magical Campaign for Beginners!,,,Europe/London,10/30/21 01:30pm,Topher - DnD with Toph Sat Oct 30 @ 01:30pm,1.5000,paid,10/25/21-11/01/21,2021-11-07 10:04:00+00,$21.00,2,https://outschool.com/sections/2ac36c86-07c6-4bc8-8a0f-a7f8586ef002/learners,2023-07-17 22:14:36.089916+00
dd4b0810-8f61-4b43-818f-7b2796d86fdd307f514c-2d01-4c47-86a2-ed4158f4215a25549d5b-9c9f-4228-899b-fa89578c9cb4027c163b-6645-4871-a6fc-e20cd0cdce1c,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Introduction Part 1: Creating a Character!,,,Europe/London,11/01/21 05:00pm,Topher - DnD with Toph Mon Nov 01 @ 05:00pm,1.5000,paid,,2021-11-08 08:20:00+00,$23.10,2,https://outschool.com/sections/dd4b0810-8f61-4b43-818f-7b2796d86fdd/learners,2023-07-17 22:14:36.089916+00
12d615f6-1112-4878-b8a6-68448318bf57246d8fba-b8b9-48e4-a9dd-7538e8ea2a0c25549d5b-9c9f-4228-899b-fa89578c9cb42021-11-012021-11-08fb1bd7f6-0c00-4c74-9daf-e5cef099a030,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Lost Mine of Phandelver - Beginner Starter Adventure!,,,Europe/London,11/02/21 02:30pm,Topher - DnD with Toph Tue Nov 02 @ 02:30pm,1.5000,paid,11/01/21-11/08/21,2021-11-14 08:25:00+00,$21.00,2,https://outschool.com/sections/12d615f6-1112-4878-b8a6-68448318bf57/learners,2023-07-17 22:14:36.089916+00
16e707b1-dc4d-4a45-805b-e4802f9d5cf78c85aa0e-f323-46b6-8ce4-9569bd6ab20125549d5b-9c9f-4228-899b-fa89578c9cb42021-11-012021-11-0839a220de-d7a9-453f-988f-b21317870726,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Waterdeep: Dragon Heist - Beginner Fantasy Campaign!,,,Europe/London,11/06/21 03:00pm,Topher - DnD with Toph Sat Nov 06 @ 03:00pm,1.5000,paid,11/01/21-11/08/21,2021-11-14 08:25:00+00,$31.50,3,https://outschool.com/sections/16e707b1-dc4d-4a45-805b-e4802f9d5cf7/learners,2023-07-17 22:14:36.089916+00
2ac36c86-07c6-4bc8-8a0f-a7f8586ef002d44b896b-e4ef-47ae-b1b7-d2dd231ed20025549d5b-9c9f-4228-899b-fa89578c9cb42021-11-012021-11-0869b4283b-a777-4b80-9d7d-a1276e23757f,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) The Wild Beyond - A Magical Campaign for Beginners!,,,Europe/London,11/06/21 12:30pm,Topher - DnD with Toph Sat Nov 06 @ 12:30pm,1.5000,paid,11/01/21-11/08/21,2021-11-14 10:14:00+00,$21.00,2,https://outschool.com/sections/2ac36c86-07c6-4bc8-8a0f-a7f8586ef002/learners,2023-07-17 22:14:36.089916+00
c153e1f3-f050-486b-85a9-e0bd9a0de430307f514c-2d01-4c47-86a2-ed4158f4215a25549d5b-9c9f-4228-899b-fa89578c9cb4eb7db8ca-6b32-4b4c-a695-abb194734ae7,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Introduction Part 1: Creating a Character!,,,Europe/London,11/08/21 01:30pm,Topher - DnD with Toph Mon Nov 08 @ 01:30pm,1.5000,paid,,2021-11-15 08:22:00+00,$21.00,2,https://outschool.com/sections/c153e1f3-f050-486b-85a9-e0bd9a0de430/learners,2023-07-17 22:14:36.089916+00
16e707b1-dc4d-4a45-805b-e4802f9d5cf78c85aa0e-f323-46b6-8ce4-9569bd6ab20125549d5b-9c9f-4228-899b-fa89578c9cb42021-11-082021-11-15c2cc4b7b-d5e5-47ea-ac0a-a474df59c395,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Waterdeep: Dragon Heist - Beginner Fantasy Campaign!,,,Europe/London,11/13/21 04:00pm,Topher - DnD with Toph Sat Nov 13 @ 04:00pm,1.5000,paid,11/08/21-11/15/21,2021-11-21 08:31:00+00,$31.50,3,https://outschool.com/sections/16e707b1-dc4d-4a45-805b-e4802f9d5cf7/learners,2023-07-17 22:14:36.089916+00
