payout_id,duplicate_number,owner_name,class_name,leader_user_id,leader_name,timezone,first_meeting_of_week_date,meetings,hours_taught,status,paid_period,payout_date,payout_dollars,num_enrollments,section_link,loaded_at
af2ead99-b6ac-423a-ac93-28b53c4ed90f246d8fba-b8b9-48e4-a9dd-7538e8ea2a0c25549d5b-9c9f-4228-899b-fa89578c9cb42022-11-212022-11-282ff0624e-5b15-42bd-bce1-0398fd766c2b,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Lost Mine of Phandelver - Beginner Starter Adventure!,,,Europe/London,11/21/22 03:00am,Topher - DnD with Toph Mon Nov 21 @ 03:00am,1.2500,paid,11/21/22-11/28/22,2022-12-04 08:15:00+00,$21.00,2,https://outschool.com/sections/af2ead99-b6ac-423a-ac93-28b53c4ed90f/learners,2023-07-17 22:14:44.626084+00
7e82b256-aac6-4546-ad20-b9a8f47f6952d44b896b-e4ef-47ae-b1b7-d2dd231ed20025549d5b-9c9f-4228-899b-fa89578c9cb42022-11-212022-11-28e5a36349-2bea-42d5-8ee5-021ffdd74d78,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) The Wild Beyond - A Magical Campaign for Beginners!,,,Europe/London,11/23/22 06:00pm,Topher - DnD with Toph Wed Nov 23 @ 06:00pm,1.5000,paid,11/21/22-11/28/22,2022-12-04 08:16:00+00,$82.60,5,https://outschool.com/sections/7e82b256-aac6-4546-ad20-b9a8f47f6952/learners,2023-07-17 22:14:44.626084+00
045a6e91-ba93-4b37-ad87-96430441b8b4d44b896b-e4ef-47ae-b1b7-d2dd231ed20025549d5b-9c9f-4228-899b-fa89578c9cb42022-11-212022-11-28a443d309-5af9-4d1d-953f-8690158a2cde,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) The Wild Beyond - A Magical Campaign for Beginners!,,,Europe/London,11/27/22 05:00pm,Topher - DnD with Toph Sun Nov 27 @ 05:00pm,1.5000,paid,11/21/22-11/28/22,2022-12-04 08:22:00+00,$75.60,5,https://outschool.com/sections/045a6e91-ba93-4b37-ad87-96430441b8b4/learners,2023-07-17 22:14:44.626084+00
00668776-60ca-46d7-b5ac-b1c0d37d9e49d44b896b-e4ef-47ae-b1b7-d2dd231ed20025549d5b-9c9f-4228-899b-fa89578c9cb42022-11-212022-11-28eb531237-0bd7-47fc-8211-24f5cbda9af0,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) The Wild Beyond - A Magical Campaign for Beginners!,,,Europe/London,11/22/22 06:30pm,Topher - DnD with Toph Tue Nov 22 @ 06:30pm,1.5000,paid,11/21/22-11/28/22,2022-12-04 08:22:00+00,$32.20,2,https://outschool.com/sections/00668776-60ca-46d7-b5ac-b1c0d37d9e49/learners,2023-07-17 22:14:44.626084+00
cc540f49-2246-4f45-a34f-9570bade2a608c85aa0e-f323-46b6-8ce4-9569bd6ab20125549d5b-9c9f-4228-899b-fa89578c9cb42022-11-212022-11-28d3a98df4-6d63-4cb6-ae0f-0d3a538c364c,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Waterdeep: Dragon Heist - Beginner Fantasy Campaign!,,,Europe/London,11/23/22 03:00am,Topher - DnD with Toph Wed Nov 23 @ 03:00am,1.5000,paid,11/21/22-11/28/22,2022-12-04 08:23:00+00,$40.60,2,https://outschool.com/sections/cc540f49-2246-4f45-a34f-9570bade2a60/learners,2023-07-17 22:14:44.626084+00
cb116d0f-a31c-46b4-bf54-3dbaf2d66c168c85aa0e-f323-46b6-8ce4-9569bd6ab20125549d5b-9c9f-4228-899b-fa89578c9cb42022-11-212022-11-28a58f018d-46a3-4f49-a91b-06a7156564fb,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Waterdeep: Dragon Heist - Beginner Fantasy Campaign!,,,Europe/London,11/23/22 03:00pm,Topher - DnD with Toph Wed Nov 23 @ 03:00pm,1.5000,paid,11/21/22-11/28/22,2022-12-04 08:23:00+00,$93.80,5,https://outschool.com/sections/cb116d0f-a31c-46b4-bf54-3dbaf2d66c16/learners,2023-07-17 22:14:44.626084+00
dd1114eb-7ef3-491e-955e-9ec471b8698553b512a9-d0e0-4dde-8c2f-28540936625725549d5b-9c9f-4228-899b-fa89578c9cb42022-11-212022-11-28bd908dcb-a8ca-418f-924f-1d6934ff1de9,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Ghosts of Saltmarsh - Beginner Pirate Sea Adventure!,,,Europe/London,11/21/22 05:30pm,Topher - DnD with Toph Mon Nov 21 @ 05:30pm,1.5000,paid,11/21/22-11/28/22,2022-12-04 08:23:00+00,$21.00,1,https://outschool.com/sections/dd1114eb-7ef3-491e-955e-9ec471b86985/learners,2023-07-17 22:14:44.626084+00
00668776-60ca-46d7-b5ac-b1c0d37d9e49d44b896b-e4ef-47ae-b1b7-d2dd231ed20025549d5b-9c9f-4228-899b-fa89578c9cb42022-11-282022-12-056c9ea361-e5de-4059-811a-c91eea5f8bb4,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) The Wild Beyond - A Magical Campaign for Beginners!,,,Europe/London,11/29/22 06:30pm,Topher - DnD with Toph Tue Nov 29 @ 06:30pm,1.5000,paid,11/28/22-12/05/22,2022-12-11 08:15:00+00,$32.20,2,https://outschool.com/sections/00668776-60ca-46d7-b5ac-b1c0d37d9e49/learners,2023-07-17 22:14:44.626084+00
045a6e91-ba93-4b37-ad87-96430441b8b4d44b896b-e4ef-47ae-b1b7-d2dd231ed20025549d5b-9c9f-4228-899b-fa89578c9cb42022-11-282022-12-059834beb9-4de8-472c-91a4-555be6f53a1f,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) The Wild Beyond - A Magical Campaign for Beginners!,,,Europe/London,12/04/22 05:00pm,Topher - DnD with Toph Sun Dec 04 @ 05:00pm,1.5000,paid,11/28/22-12/05/22,2022-12-11 08:15:00+00,$47.60,3,https://outschool.com/sections/045a6e91-ba93-4b37-ad87-96430441b8b4/learners,2023-07-17 22:14:44.626084+00
7e82b256-aac6-4546-ad20-b9a8f47f6952d44b896b-e4ef-47ae-b1b7-d2dd231ed20025549d5b-9c9f-4228-899b-fa89578c9cb42022-11-282022-12-05cfdad088-847f-47eb-93cc-89a4b2081b2a,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) The Wild Beyond - A Magical Campaign for Beginners!,,,Europe/London,11/30/22 06:00pm,Topher - DnD with Toph Wed Nov 30 @ 06:00pm,1.5000,paid,11/28/22-12/05/22,2022-12-11 08:17:00+00,$63.00,4,https://outschool.com/sections/7e82b256-aac6-4546-ad20-b9a8f47f6952/learners,2023-07-17 22:14:44.626084+00
