payout_id,duplicate_number,owner_name,class_name,leader_user_id,leader_name,timezone,first_meeting_of_week_date,meetings,hours_taught,status,paid_period,payout_date,payout_dollars,num_enrollments,section_link,loaded_at
af2ead99-b6ac-423a-ac93-28b53c4ed90f246d8fba-b8b9-48e4-a9dd-7538e8ea2a0c25549d5b-9c9f-4228-899b-fa89578c9cb42022-12-192022-12-26f71cf700-762c-4bdc-9fd0-61790103d61a,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Lost Mine of Phandelver - Beginner Starter Adventure!,,,Europe/London,12/19/22 03:00am,Topher - DnD with Toph Mon Dec 19 @ 03:00am,1.2500,paid,12/19/22-12/26/22,2023-01-01 08:13:00+00,$21.00,2,https://outschool.com/sections/af2ead99-b6ac-423a-ac93-28b53c4ed90f/learners,2023-07-17 22:15:07.544824+00
cc540f49-2246-4f45-a34f-9570bade2a608c85aa0e-f323-46b6-8ce4-9569bd6ab20125549d5b-9c9f-4228-899b-fa89578c9cb42022-12-192022-12-26b41fbc4c-9702-41da-afa9-d4e8e2eca7ca,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Waterdeep: Dragon Heist - Beginner Fantasy Campaign!,,,Europe/London,12/21/22 03:00am,Topher - DnD with Toph Wed Dec 21 @ 03:00am,1.5000,paid,12/19/22-12/26/22,2023-01-01 08:15:00+00,$40.60,2,https://outschool.com/sections/cc540f49-2246-4f45-a34f-9570bade2a60/learners,2023-07-17 22:15:07.544824+00
9a17db27-62bf-4428-8252-a455f4da65ffc8af197b-ec0a-4e42-8951-5166fd47c60f25549d5b-9c9f-4228-899b-fa89578c9cb49cc723ac-d7d8-45e6-a234-eaa53cfa9817,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) The Darkest Night: A Beginners Christmas Winter Camp!,,,Europe/London,12/27/22 03:00pm,"Topher - DnD with Toph Tue Dec 27 @ 03:00pm, Topher - DnD with Toph Wed Dec 28 @ 03:00pm, Topher - DnD with Toph Thu Dec 29 @ 03:00pm, Topher - DnD with Toph Fri Dec 30 @ 03:00pm, Topher - DnD with Toph Sat Dec 31 @ 03:00pm",7.5000,paid,,2023-01-03 08:08:00+00,$2625.00,30,https://outschool.com/sections/9a17db27-62bf-4428-8252-a455f4da65ff/learners,2023-07-17 22:15:07.544824+00
2b339611-41b8-4840-b643-ee3bda60252500d1445e-e84b-49ab-8445-d4ec9610c26725549d5b-9c9f-4228-899b-fa89578c9cb4a90a4b51-1dcd-4053-a9da-01d1afcc514a,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) The Holiday Hunters: Summer Camp Adventure,,,Europe/London,12/27/22 06:00pm,"Topher - DnD with Toph Tue Dec 27 @ 06:00pm, Topher - DnD with Toph Wed Dec 28 @ 06:00pm, Topher - DnD with Toph Thu Dec 29 @ 06:00pm, Topher - DnD with Toph Fri Dec 30 @ 06:00pm, Topher - DnD with Toph Sat Dec 31 @ 06:00pm",7.5000,paid,,2023-01-03 08:08:00+00,$2625.00,30,https://outschool.com/sections/2b339611-41b8-4840-b643-ee3bda602525/learners,2023-07-17 22:15:07.544824+00
cc540f49-2246-4f45-a34f-9570bade2a608c85aa0e-f323-46b6-8ce4-9569bd6ab20125549d5b-9c9f-4228-899b-fa89578c9cb42022-12-262023-01-02dc8a85e1-c261-47e4-826e-d770c1290101,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Waterdeep: Dragon Heist - Beginner Fantasy Campaign!,,,Europe/London,12/28/22 03:00am,"Topher - DnD with Toph Wed Dec 28 @ 03:00am, Topher - DnD with Toph Wed Dec 28 @ 11:00pm",3.0000,paid,12/26/22-01/02/23,2023-01-08 08:14:00+00,$81.20,4,https://outschool.com/sections/cc540f49-2246-4f45-a34f-9570bade2a60/learners,2023-07-17 22:15:07.544824+00
ade47a9a-a688-4911-a027-25f58fc020048915cdb7-312f-450c-ac4a-123f6b4e716b25549d5b-9c9f-4228-899b-fa89578c9cb42022-12-262023-01-0200afae97-e103-41a8-bd53-857718691f35,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Tomb of Annihilation | Jungle Dinosaur Adventure!,,,Europe/London,01/01/23 02:30pm,Topher - DnD with Toph Sun Jan 01 @ 02:30pm,1.5000,paid,12/26/22-01/02/23,2023-01-08 08:14:00+00,$92.40,5,https://outschool.com/sections/ade47a9a-a688-4911-a027-25f58fc02004/learners,2023-07-17 22:15:07.544824+00
045a6e91-ba93-4b37-ad87-96430441b8b4d44b896b-e4ef-47ae-b1b7-d2dd231ed20025549d5b-9c9f-4228-899b-fa89578c9cb42022-12-262023-01-02d1e9c3e5-1261-4819-973c-dacd1794743d,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) The Wild Beyond - A Magical Campaign for Beginners!,,,Europe/London,01/01/23 05:00pm,Topher - DnD with Toph Sun Jan 01 @ 05:00pm,1.5000,paid,12/26/22-01/02/23,2023-01-08 08:18:00+00,$47.60,3,https://outschool.com/sections/045a6e91-ba93-4b37-ad87-96430441b8b4/learners,2023-07-17 22:15:07.544824+00
31864e6b-aeb4-4a0e-a03e-81d9b4d0453700d1445e-e84b-49ab-8445-d4ec9610c26725549d5b-9c9f-4228-899b-fa89578c9cb43cfcc53a-2e8f-4833-8e06-9bf32638f832,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) The Holiday Hunters: Summer Camp Adventure,,,Europe/London,01/03/23 06:00pm,"Topher - DnD with Toph Tue Jan 03 @ 06:00pm, Topher - DnD with Toph Wed Jan 04 @ 06:00pm, Topher - DnD with Toph Thu Jan 05 @ 06:00pm, Topher - DnD with Toph Fri Jan 06 @ 06:00pm, Topher - DnD with Toph Sat Jan 07 @ 06:00pm",7.5000,paid,,2023-01-10 08:10:00+00,$2835.00,30,https://outschool.com/sections/31864e6b-aeb4-4a0e-a03e-81d9b4d04537/learners,2023-07-17 22:15:07.544824+00
045a6e91-ba93-4b37-ad87-96430441b8b4d44b896b-e4ef-47ae-b1b7-d2dd231ed20025549d5b-9c9f-4228-899b-fa89578c9cb42023-01-022023-01-09c5ac2226-2b3f-41a5-8d53-f5bbcf6cc77f,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) The Wild Beyond - A Magical Campaign for Beginners!,,,Europe/London,01/08/23 05:00pm,Topher - DnD with Toph Sun Jan 08 @ 05:00pm,1.5000,paid,01/02/23-01/09/23,2023-01-15 08:13:00+00,$47.60,3,https://outschool.com/sections/045a6e91-ba93-4b37-ad87-96430441b8b4/learners,2023-07-17 22:15:07.544824+00
ade47a9a-a688-4911-a027-25f58fc020048915cdb7-312f-450c-ac4a-123f6b4e716b25549d5b-9c9f-4228-899b-fa89578c9cb42023-01-022023-01-09595b192d-c674-4cf8-9f1d-721f95bc24db,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Tomb of Annihilation | Jungle Dinosaur Adventure!,,,Europe/London,01/08/23 02:30pm,Topher - DnD with Toph Sun Jan 08 @ 02:30pm,1.5000,paid,01/02/23-01/09/23,2023-01-15 08:19:00+00,$53.20,3,https://outschool.com/sections/ade47a9a-a688-4911-a027-25f58fc02004/learners,2023-07-17 22:15:07.544824+00
