payout_id,duplicate_number,owner_name,class_name,leader_user_id,leader_name,timezone,first_meeting_of_week_date,meetings,hours_taught,status,paid_period,payout_date,payout_dollars,num_enrollments,section_link,loaded_at
f75afd2d-e85f-4671-b17a-781949bb5924246d8fba-b8b9-48e4-a9dd-7538e8ea2a0c25549d5b-9c9f-4228-899b-fa89578c9cb42022-07-252022-08-0112248888-2e70-435f-8367-25832d95c99b,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Lost Mine of Phandelver - Beginner Starter Adventure!,,,Europe/London,07/26/22 07:30pm,Topher - DnD with Toph Tue Jul 26 @ 07:30pm,1.5000,paid,07/25/22-08/01/22,2022-08-07 09:16:00+00,$112.00,6,https://outschool.com/sections/f75afd2d-e85f-4671-b17a-781949bb5924/learners,2023-07-17 22:14:44.626084+00
12d615f6-1112-4878-b8a6-68448318bf57246d8fba-b8b9-48e4-a9dd-7538e8ea2a0c25549d5b-9c9f-4228-899b-fa89578c9cb42022-07-252022-08-01ec884500-9b1e-4a95-94d2-b5f628a2b1ee,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Lost Mine of Phandelver - Beginner Starter Adventure!,,,Europe/London,07/26/22 03:30pm,Topher - DnD with Toph Tue Jul 26 @ 03:30pm,1.5000,paid,07/25/22-08/01/22,2022-08-07 09:17:00+00,$107.10,6,https://outschool.com/sections/12d615f6-1112-4878-b8a6-68448318bf57/learners,2023-07-17 22:14:44.626084+00
16e707b1-dc4d-4a45-805b-e4802f9d5cf78c85aa0e-f323-46b6-8ce4-9569bd6ab20125549d5b-9c9f-4228-899b-fa89578c9cb42022-07-252022-08-01394f9ab5-2e09-4113-8cd2-a28072167e1e,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Waterdeep: Dragon Heist - Beginner Fantasy Campaign!,,,Europe/London,07/31/22 05:00pm,Topher - DnD with Toph Sun Jul 31 @ 05:00pm,1.5000,paid,07/25/22-08/01/22,2022-08-07 09:17:00+00,$70.00,4,https://outschool.com/sections/16e707b1-dc4d-4a45-805b-e4802f9d5cf7/learners,2023-07-17 22:14:44.626084+00
7e82b256-aac6-4546-ad20-b9a8f47f6952d44b896b-e4ef-47ae-b1b7-d2dd231ed20025549d5b-9c9f-4228-899b-fa89578c9cb42022-07-252022-08-01187d68d6-5728-47f2-98d3-b72defee7bc0,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) The Wild Beyond - A Magical Campaign for Beginners!,,,Europe/London,07/27/22 05:00pm,Topher - DnD with Toph Wed Jul 27 @ 05:00pm,1.5000,paid,07/25/22-08/01/22,2022-08-07 09:17:00+00,$91.00,5,https://outschool.com/sections/7e82b256-aac6-4546-ad20-b9a8f47f6952/learners,2023-07-17 22:14:44.626084+00
dd1114eb-7ef3-491e-955e-9ec471b8698553b512a9-d0e0-4dde-8c2f-28540936625725549d5b-9c9f-4228-899b-fa89578c9cb42022-07-252022-08-0164664e18-9255-446a-80ed-7c728eee1258,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Ghosts of Saltmarsh - Beginner Pirate Sea Adventure!,,,Europe/London,07/25/22 05:30pm,Topher - DnD with Toph Mon Jul 25 @ 05:30pm,1.5000,paid,07/25/22-08/01/22,2022-08-07 09:17:00+00,$101.50,5,https://outschool.com/sections/dd1114eb-7ef3-491e-955e-9ec471b86985/learners,2023-07-17 22:14:44.626084+00
cb116d0f-a31c-46b4-bf54-3dbaf2d66c168c85aa0e-f323-46b6-8ce4-9569bd6ab20125549d5b-9c9f-4228-899b-fa89578c9cb42022-07-252022-08-01eca5a888-b9e8-4e1f-b701-b4a435ef2314,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Waterdeep: Dragon Heist - Beginner Fantasy Campaign!,,,Europe/London,07/27/22 03:00pm,Topher - DnD with Toph Wed Jul 27 @ 03:00pm,1.5000,paid,07/25/22-08/01/22,2022-08-07 09:17:00+00,$94.50,5,https://outschool.com/sections/cb116d0f-a31c-46b4-bf54-3dbaf2d66c16/learners,2023-07-17 22:14:44.626084+00
67b952e0-b508-40c7-962a-e92976b5051a8c85aa0e-f323-46b6-8ce4-9569bd6ab20125549d5b-9c9f-4228-899b-fa89578c9cb42022-07-252022-08-01fa7f9108-22a3-4b23-9f8b-54763836a244,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Waterdeep: Dragon Heist - Beginner Fantasy Campaign!,,,Europe/London,07/26/22 05:30pm,Topher - DnD with Toph Tue Jul 26 @ 05:30pm,1.5000,paid,07/25/22-08/01/22,2022-08-07 09:20:00+00,$35.00,2,https://outschool.com/sections/67b952e0-b508-40c7-962a-e92976b5051a/learners,2023-07-17 22:14:44.626084+00
12d615f6-1112-4878-b8a6-68448318bf57246d8fba-b8b9-48e4-a9dd-7538e8ea2a0c25549d5b-9c9f-4228-899b-fa89578c9cb42022-08-012022-08-085e3316fa-06f6-43bf-85e1-d65749503b2a,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Lost Mine of Phandelver - Beginner Starter Adventure!,,,Europe/London,08/02/22 03:30pm,Topher - DnD with Toph Tue Aug 02 @ 03:30pm,1.5000,paid,08/01/22-08/08/22,2022-08-14 09:15:00+00,$107.10,6,https://outschool.com/sections/12d615f6-1112-4878-b8a6-68448318bf57/learners,2023-07-17 22:14:44.626084+00
16e707b1-dc4d-4a45-805b-e4802f9d5cf78c85aa0e-f323-46b6-8ce4-9569bd6ab20125549d5b-9c9f-4228-899b-fa89578c9cb42022-08-012022-08-0833f1e66a-9fdb-40d3-99d5-fc60d5d4708b,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Waterdeep: Dragon Heist - Beginner Fantasy Campaign!,,,Europe/London,08/07/22 05:00pm,Topher - DnD with Toph Sun Aug 07 @ 05:00pm,1.5000,paid,08/01/22-08/08/22,2022-08-14 09:15:00+00,$66.50,4,https://outschool.com/sections/16e707b1-dc4d-4a45-805b-e4802f9d5cf7/learners,2023-07-17 22:14:44.626084+00
f75afd2d-e85f-4671-b17a-781949bb5924246d8fba-b8b9-48e4-a9dd-7538e8ea2a0c25549d5b-9c9f-4228-899b-fa89578c9cb42022-08-012022-08-08f3c3461c-efd1-4aaf-b9f0-c8ae8b4ca35b,1,Topher - DnD with Toph,Dungeons and Dragons (D&D) Lost Mine of Phandelver - Beginner Starter Adventure!,,,Europe/London,08/02/22 07:30pm,Topher - DnD with Toph Tue Aug 02 @ 07:30pm,1.5000,paid,08/01/22-08/08/22,2022-08-14 09:16:00+00,$133.00,7,https://outschool.com/sections/f75afd2d-e85f-4671-b17a-781949bb5924/learners,2023-07-17 22:14:44.626084+00
